n,pamphlet_straight_word,pamphlet_straight_initial,pamphlet_numbering_words,pamphlet_numbering_initials,nara_word,nara_initial,gillogly_initial,straight_ne_gillogly,pamphlet_numbering_ne_gillogly,nara_ne_gillogly
1204,good,G,colonies,C,of,O,O,X,X,
1205,people,P,are,A,these,T,T,X,X,
1206,of,O,and,A,colonies,C,C,X,X,
1207,these,T,of,O,solemnly,S,S,X,X,
1208,colonies,C,right,R,publish,P,P,X,X,
1209,solemnly,S,ought,O,and,A,A,X,X,
1210,publish,P,to,T,declare,D,D,X,X,
1211,and,A,be,B,that,T,T,X,X,
1212,declare,D,free,F,these,T,T,X,X,
1213,that,T,and,A,united,U,U,X,X,
1214,these,T,independent,I,colonies,C,C,X,X,
1215,united,U,states,S,are,A,A,X,X,
1216,colonies,C,that,T,and,A,A,X,X,
1217,are,A,they,T,of,O,O,X,X,
1218,and,A,are,A,right,R,R,X,X,
1219,of,O,absolved,A,ought,O,O,,X,
1220,right,R,from,F,to,T,T,X,X,
1221,ought,O,all,A,be,B,B,X,X,
1222,to,T,allegiance,A,free,F,F,X,X,
1223,be,B,to,T,and,A,A,X,X,
1224,free,F,the,T,independent,I,I,X,X,
1225,and,A,british,B,states,S,S,X,X,
1226,independent,I,crown,C,that,T,T,X,X,
1227,states,S,and,A,they,T,T,X,X,
1228,that,T,that,T,are,A,A,X,X,
1229,they,T,all,A,absolved,A,A,X,,
1230,are,A,political,P,from,F,F,X,X,
1231,absolved,A,connection,C,all,A,A,,X,
1232,from,F,between,B,allegiance,A,A,X,X,
1233,all,A,them,T,to,T,T,X,,
1234,allegiance,A,and,A,the,T,T,X,X,
1235,to,T,the,T,british,B,B,X,X,
1236,the,T,state,S,crown,C,C,X,X,
1237,british,B,of,O,and,A,A,X,X,
1238,crown,C,great,G,that,T,T,X,X,
1239,and,A,britain,B,all,A,A,,X,
1240,that,T,is,I,political,P,P,X,X,
1241,all,A,and,A,connection,C,C,X,X,
1242,political,P,ought,O,between,B,B,X,X,
1243,connection,C,to,T,them,T,T,X,,
1244,between,B,be,B,and,A,A,X,X,
1245,them,T,totally,T,the,T,T,,,
1246,and,A,dissolved,D,state,S,S,X,X,
1247,the,T,and,A,of,O,O,X,X,
1248,state,S,that,T,great,G,G,X,X,
1249,of,O,as,A,britain,B,B,X,X,
1250,great,G,free,F,is,I,I,X,X,
1251,britain,B,and,A,and,A,A,X,,
1252,is,I,independent,I,ought,O,O,X,X,
1253,and,A,states,S,to,T,T,X,X,
1254,ought,O,they,T,be,B,B,X,X,
1255,to,T,have,H,totally,T,T,,X,
1256,be,B,full,F,dissolved,D,D,X,X,
1257,totally,T,power,P,and,A,A,X,X,
1258,dissolved,D,to,T,that,T,T,X,,
1259,and,A,levy,L,as,A,A,,X,
1260,that,T,war,W,free,F,F,X,X,
1261,as,A,conclude,C,and,A,A,,X,
1262,free,F,peace,P,independent,I,I,X,X,
1263,and,A,contract,C,states,S,S,X,X,
1264,independent,I,alliances,A,they,T,T,X,X,
1265,states,S,establish,E,have,H,H,X,X,
1266,they,T,commerce,C,full,F,F,X,X,
1267,have,H,and,A,power,P,P,X,X,
1268,full,F,to,T,to,T,T,X,,
1269,power,P,do,D,levy,L,L,X,X,
1270,to,T,all,A,war,W,W,X,X,
1271,levy,L,other,O,conclude,C,C,X,X,
1272,war,W,acts,A,peace,P,P,X,X,
1273,conclude,C,and,A,contract,C,C,,X,
1274,peace,P,things,T,alliances,A,A,X,X,
1275,contract,C,which,W,establish,E,E,X,X,
1276,alliances,A,independent,I,commerce,C,C,X,X,
1277,establish,E,states,S,and,A,A,X,X,
1278,commerce,C,may,M,to,T,T,X,X,
1279,and,A,of,O,do,D,D,X,X,
1280,to,T,right,R,all,A,A,X,X,
1281,do,D,do,D,other,O,O,X,X,
1282,all,A,and,A,acts,A,A,,,
1283,other,O,for,F,and,A,A,X,X,
1284,acts,A,the,T,things,T,T,X,,
1285,and,A,support,S,which,W,W,X,X,
1286,things,T,of,O,independent,I,I,X,X,
1287,which,W,this,T,states,S,S,X,X,
1288,independent,I,declaration,D,may,M,M,X,X,
1289,states,S,with,W,of,O,O,X,X,
1290,may,M,a,A,right,R,R,X,X,
1291,of,O,firm,F,do,D,D,X,X,
1292,right,R,reliance,R,and,A,A,X,X,
1293,do,D,on,O,for,F,F,X,X,
1294,and,A,the,T,the,T,T,X,,
1295,for,F,protection,P,support,S,S,X,X,
1296,the,T,of,O,of,O,O,X,,
1297,support,S,divine,D,this,T,T,X,X,
1298,of,O,providence,P,declaration,D,D,X,X,
1299,this,T,we,W,with,W,W,X,,
1300,declaration,D,mutually,M,a,A,I,X,X,X
1301,with,W,pledge,P,firm,F,F,X,X,
1302,a,A,to,T,reliance,R,R,X,X,
1303,firm,F,each,E,on,O,O,X,X,
1304,reliance,R,other,O,the,T,T,X,X,
1305,on,O,our,O,protection,P,P,X,X,
1306,the,T,lives,L,of,O,O,X,X,
1307,protection,P,our,O,divine,D,D,X,X,
1308,of,O,fortunes,F,providence,P,M,X,X,X
1309,divine,D,and,A,we,W,W,X,X,
1310,providence,P,our,O,mutually,M,M,X,X,
1311,we,W,sacred,S,pledge,P,P,X,X,
1312,mutually,M,honor,H,to,T,T,X,X,
1313,pledge,P,,,each,E,E,X,X,
1314,to,T,,,other,O,O,X,X,
1315,each,E,,,our,O,O,X,X,
1316,other,O,,,lives,L,L,X,X,
1317,our,O,,,our,O,O,,X,
1318,lives,L,,,fortunes,F,F,X,X,
1319,our,O,,,and,A,A,X,X,
1320,fortunes,F,,,our,O,O,X,X,
1321,and,A,,,sacred,S,S,X,X,
1322,our,O,,,honor,H,H,X,X,
1323,sacred,S,,,,,,X,X,
1324,honor,H,,,,,,X,X,
